label,waist_mean,waist_max,waist_min,l_thigh_mean,l_thigh_max,r_thigh_mean,r_thigh_max,waist_omega_mean,waist_omega_max,waist_omega_min,l_thigh_omega_mean,l_thigh_omega_max,l_thigh_omega_min,r_thigh_omega_mean,r_thigh_omega_max,r_thigh_omega_min,thigh_mean_diff
standing,-0.0326855163919426,0.131890488018314,-0.26427004204146,0.228966854408224,0.31452068827798,1.14479463238106,1.19955086798487,2.19428356978641,2.88241456052232,1.43909910659485,-0.696334697397828,-0.293541518274752,-0.975522792708678,-0.584313265716069,-0.284913447831283,-0.921152621199503,0.9158277779728361
standing,0.054312913983938,0.136713067304342,-0.112244556432557,0.20356641909849,0.263474368019409,1.11020377822229,1.167818358769,1.99830996396522,2.88241456052232,0.720639808453316,-0.610037688365154,-0.226125137206354,-0.975522792708678,-0.702933461124914,-0.388892710285482,-1.05536706843,0.9066373591238
standing,0.0959734767122122,0.136713067304342,0.0092556467263591,0.188335116584873,0.217279400627824,1.07423101904615,1.15201823518628,1.34938689153906,2.88241456052232,-0.740533737632984,-0.457421694365776,-0.221837051893458,-0.975522792708678,-0.835430110133492,-0.431570422680337,-1.06306152493402,0.8858959024612769
standing,0.103200617461384,0.136713067304342,0.0643671582989498,0.187191813767864,0.207646734392284,1.03455407473405,1.11519277744183,0.444112133155286,1.95276292400131,-0.93018926603143,-0.199597931036825,0.304785030740393,-0.546753942579147,-0.920413059626296,-0.66342418570796,-1.06306152493402,0.847362260966186
standing,0.0971400991346179,0.136713067304342,0.0643671582989498,0.194143416891773,0.231519859875426,0.994460612931061,1.05811096968876,-0.0329252198542706,1.51578828427769,-0.93018926603143,0.0150036956649913,0.667652035715576,-0.406822083110082,-0.951648302270099,-0.688799314431963,-1.06306152493402,0.8003171960392881
standing,0.0982888849266644,0.156447811519413,0.0643671582989498,0.206084140260908,0.231519859875426,0.969100054399367,1.02974305315803,-0.0749359220617559,0.942414576036786,-0.93018926603143,0.147958824811675,0.667652035715576,-0.266453100436846,-0.752483120974815,0.0948209473187062,-1.06306152493402,0.7630159141384589
standing,0.120091554511315,0.202778726023084,0.0643671582989498,0.214147335748621,0.231519859875426,0.956223955389469,0.987158643317414,0.228768659562972,1.10203702303577,-0.93018926603143,0.155690886511833,0.667652035715576,-0.355151738856818,-0.383423915492686,0.688157978542023,-0.989952625920004,0.742076619640848
standing,0.167295548778288,0.2726550434801,0.0759860418053364,0.213980254667826,0.231519859875426,0.962612568817871,1.0088506613131,0.791757984329963,1.46316020378724,-0.459974666035954,0.0186932760934105,0.667652035715576,-0.603902887384042,-0.0171330675123284,0.688157978542023,-0.989952625920004,0.748632314150045
standing,0.227397208947374,0.356677437371573,0.12119250498786,0.217621992087711,0.242886964076668,0.981961938864147,1.02164603574542,1.20853416828387,1.61895269794243,0.634205211876476,0.0236495753544332,0.65613054110816,-0.603902887384042,0.345192626458556,0.759252338507054,-0.538733720001037,0.764339946776436
standing,0.29534920297857,0.474580817883023,0.156447811519413,0.223326514179102,0.256513847138834,1.00379861046212,1.03762302202531,1.45844365592392,2.1422075826401,0.883812188803561,0.117319212942807,0.743927616954816,-0.603902887384042,0.499864215862912,0.759252338507054,0.209692598627378,0.780472096283018
